n,metric,steps,independent_inputs,repeats_per_input,baseline,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3
6,min,5699,10,5,peigen,0.16910089489384103,0.16788502368836639,0.16975188629584137,0.09347288998069837,0.07882922442533778,0.10222767152131952,1.8215348461534906,1.6397880489044578,2.143280913181324,0.975516,0.970606,0.980616,0.5433604999999999,0.460391,0.5930920000000001,1.8121405183028652,1.6304556547700226,2.1178542548216495
6,spectrum,4096,10,5,peigen,0.5256450195312501,0.5233425903320312,0.5292856445312499,0.09697387695312501,0.0966357421875,0.0975985107421875,5.430114267851902,5.4043646566011505,5.462980947555096,2.1659265,2.1551985,2.18166175,0.4086615,0.40709125,0.41139825,5.307711461269511,5.2852397638607576,5.3485081454835495
7,max,10240,10,5,peigen,0.535734765625,0.53563994140625,0.5360261962890625,0.053699169921875,0.05351923828125,0.05393740234375,9.975915781366751,9.936426027609922,10.012617812565493,5.501906,5.50033325,5.50360375,0.5614745000000001,0.55919825,0.5637257499999999,9.797780812554802,9.758976444027832,9.838718254479293
7,min,768,10,5,peigen,1.291134765625,1.2848190104166668,1.2941080729166667,0.138765625,0.12728808593750002,0.1604287109375,9.31659829121671,8.040091086505742,10.153469037348188,1.007941,1.0034285,1.01103325,0.120209,0.11171475,0.13714674999999998,8.384028138297005,7.3500783147958115,8.984852741281113
7,spectrum,1408,10,5,peigen,1.8975667613636364,1.895497159090909,1.904163884943182,0.18262571022727275,0.18173384232954545,0.18398366477272726,10.411613627061495,10.302572428919419,10.45562240329054,2.6862760000000003,2.6833195,2.69610275,0.27387649999999997,0.27207625,0.27567725,9.815179161775164,9.751413311232579,9.899832209352219
8,max,6912,10,5,peigen,0.8523075086805556,0.8510652850115741,0.8525572554976852,0.06872649016203704,0.06659215856481482,0.06912395109953703,12.403671222141366,12.293996978468426,12.811618681455132,5.9127345,5.90361575,5.916682,0.490757,0.47627025,0.4958825,12.054305009713389,11.89457180226931,12.427141142699885
8,min,491,10,5,peigen,2.497161914460285,2.491762219959267,2.500255091649694,0.23422097759674132,0.23216446028513238,0.2396206720977597,10.662630920488214,10.410876158209595,10.79314464094582,1.2486385,1.2458255,1.2519315,0.129331,0.128434,0.13218525,9.650212359653398,9.445193710908555,9.736951868503768
8,spectrum,640,10,5,peigen,3.61860625,3.5996249999999996,3.63283359375,0.33322890625,0.33109414062500003,0.336409375,10.854277905809171,10.737947149165057,10.896994626801343,2.3418324999999998,2.32862225,2.350628,0.2374765,0.236205,0.23978675,9.844083017297713,9.762365584166151,9.8844196469685
9,max,5248,10,5,bitwise,0.5461183307926829,0.5450125762195122,0.5477950171493903,0.08488576600609757,0.08469693216463414,0.0871492949695122,6.411251483446566,6.262015160355218,6.451438939636153,2.8860409999999996,2.8803255,2.89475325,0.465062,0.46430525,0.477065,6.180064675521203,6.045127283551083,6.2202768474753505
9,min,138,10,5,bitwise,7.938764492753624,7.910507246376811,7.974478260869565,0.4346702898550725,0.4311286231884058,0.4478894927536232,18.108499338354598,17.653221623474934,18.521255001551452,1.1230625,1.11983625,1.1282610000000002,0.07878750000000001,0.07789125,0.080431,14.21308031072557,13.907138752130198,14.476441764322814
