case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
random_n08_05,8,spectrum,proposed,32640,random,5,1785,1785,0,14463057154257847951,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.7296198529411766,1.7044821384803923,1.7643707107843138,0.012248,0.010724,56.454792,56.499686
random_n08_06,8,max,peigen,32640,random,5,7,7,0,10877152334269854441,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8036738970588235,0.8019161764705882,0.8141920649509804,0.023444,0.008961,26.231916,26.264321
random_n08_06,8,max,proposed,32640,random,5,7,7,0,10877152334269854441,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12872438725490196,0.12829629289215685,0.12882542892156862,0.012168,0.003197,4.201564,4.216999
random_n08_06,8,min,peigen,32640,random,5,7,7,0,10877152334269854441,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.148487867647059,3.1452507659313724,3.148567769607843,0.011917,0.01281,102.766644,102.791141
random_n08_06,8,min,proposed,32640,random,5,7,7,0,10877152334269854441,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4594788602941176,0.4582295955882353,0.46026681985294116,0.012539,0.003568,14.99739,15.013276
random_n08_06,8,spectrum,peigen,32640,random,5,1785,1785,0,10877152334269854441,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.381275919117647,3.375994669117647,3.3824375,0.019785,0.013672,110.364846,110.386777
random_n08_06,8,spectrum,proposed,32640,random,5,1785,1785,0,10877152334269854441,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6395901960784314,1.639423131127451,1.6967178921568626,0.01271,0.010605,53.516224,53.567512
random_n08_07,8,max,peigen,32640,random,5,7,7,0,13545761909965494203,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8035765931372549,0.8005404718137255,0.8136746323529412,0.023865,0.014694,26.22874,26.272792
random_n08_07,8,max,proposed,32640,random,5,7,7,0,13545761909965494203,"[0, 0, 0, 0, 0, 0, 1, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12584889705882352,0.12519632352941176,0.12638872549019609,0.012239,0.003317,4.107708,4.123264
random_n08_07,8,min,peigen,32644,random,5,6,7,1,17574984826394488291,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.1774451354000735,3.1755745925744394,3.194356451415268,0.011978,0.011978,103.724519,103.775997
random_n08_07,8,min,proposed,32644,random,5,6,7,1,17574984826394488291,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4408380713147898,0.440538690111506,0.44095104766572724,0.012178,0.003729,14.390718,14.406695
random_n08_07,8,spectrum,peigen,32644,random,5,1784,1785,1,17574984826394488291,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.4476756524935666,3.4429981007229506,3.454749846832496,0.012048,0.012218,112.545924,112.57019
random_n08_07,8,spectrum,proposed,32644,random,5,1784,1785,1,17574984826394488291,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6412616713638035,1.6305534554588899,1.6429973961524322,0.013442,0.011156,53.577346,53.601732
random_n08_08,8,max,peigen,32640,random,5,7,7,0,9400087221459158275,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8026697916666667,0.8016081495098039,0.8066679534313725,0.013562,0.009612,26.199142,26.22032
random_n08_08,8,max,proposed,32640,random,5,7,7,0,9400087221459158275,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.1266862745098039,0.126598131127451,0.13049592524509804,0.012308,0.003288,4.13504,4.150095
random_n08_08,8,min,peigen,32640,random,5,6,6,0,9400087221459158275,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.1966930147058825,3.193263235294118,3.2014070772058822,0.011797,0.012289,104.34006,104.385164
random_n08_08,8,min,proposed,32640,random,5,6,6,0,9400087221459158275,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.45883547794117646,0.4546146752450981,0.4598126225490196,0.012258,0.003648,14.97639,14.992347
random_n08_08,8,spectrum,peigen,32643,random,5,1782,1785,2,12842183228953749209,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.4355074288515146,3.432400606561897,3.4717620623104493,0.024256,0.020959,112.145269,112.193331
random_n08_08,8,spectrum,proposed,32643,random,5,1782,1785,2,12842183228953749209,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6124308121189843,1.6117367888980791,1.613757865392274,0.012379,0.010324,52.634579,52.657031
random_n08_09,8,max,peigen,32640,random,5,7,7,0,17643406256914060795,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.8053613357843137,0.8049584252450981,0.8055419117647059,0.011638,0.009052,26.286994,26.308504
random_n08_09,8,max,proposed,32640,random,5,7,7,0,17643406256914060795,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.12985444240196078,0.12966161151960784,0.12995364583333333,0.012469,0.003218,4.238449,4.254136
random_n08_09,8,min,peigen,32640,random,5,6,6,0,17643406256914060795,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.379789920343137,3.3772076286764703,3.3834872242647056,0.024046,0.019425,110.316343,110.367662
random_n08_09,8,min,proposed,32640,random,5,6,6,0,17643406256914060795,"[0, 0, 0, 0, 0, 0, 3, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.4501806678921569,0.4481818933823529,0.45102300857843136,0.012157,0.003719,14.693897,14.710335
random_n08_09,8,spectrum,peigen,32649,random,5,1782,1785,2,9210127519469826297,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.579083922937915,3.5774372568838246,3.591985206285032,0.011918,0.013782,116.853511,116.880002
random_n08_09,8,spectrum,proposed,32649,random,5,1782,1785,2,9210127519469826297,"[0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.6634204722962418,1.660254433520169,1.6636427149376705,0.012168,0.010996,54.309015,54.339144
