case,n,metric,method,steps,group,repeats,initial_value,final_value,accepted,final_box_hash,final_histogram,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms
random_n03_02,3,max,peigen,15744,random,5,2,2,0,7666396878289038003,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.030613122459349593,0.029500952743902437,0.033407329776422766,0.013772,0.007106,0.481973,0.492567
random_n03_02,3,max,proposed,15744,random,5,2,2,0,7666396878289038003,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02682837906504065,0.01875076219512195,0.027406440548780487,0.013652,0.001383,0.422386,0.437651
random_n03_02,3,min,peigen,27413,random,5,1,1,0,1859530999151717103,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.035653084303067885,0.035374457374238506,0.035905774632473644,0.006906,0.001343,0.977358,0.985035
random_n03_02,3,min,proposed,27413,random,5,1,1,0,1859530999151717103,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06952548061138876,0.06269799000474227,0.0696454601831248,0.014123,0.001874,1.905902,1.92233
random_n03_02,3,spectrum,peigen,20864,random,5,13,13,0,17805135671022482449,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.053017925613496934,0.04980636503067485,0.060915308665644166,0.013842,0.001443,1.106166,1.121972
random_n03_02,3,spectrum,proposed,20864,random,5,13,13,0,17805135671022482449,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.033888180598159505,0.03365759202453988,0.03425047929447853,0.006736,0.001062,0.707043,0.714841
random_n03_03,3,max,peigen,15744,random,5,2,2,0,15880975087845803987,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03522681656504065,0.033625,0.037623158028455284,0.013612,0.001874,0.554611,0.576071
random_n03_03,3,max,proposed,15744,random,5,2,2,0,15880975087845803987,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02225031758130081,0.021958142784552846,0.022370045731707318,0.006796,0.000752,0.350309,0.357706
random_n03_03,3,min,peigen,27413,random,5,1,1,0,7255901354379398241,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04513657753620545,0.03532915040309342,0.04926604165906687,0.014072,0.001564,1.237329,1.253526
random_n03_03,3,min,proposed,27413,random,5,1,1,0,7255901354379398241,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06504096596505307,0.06456130303140846,0.0679938715208113,0.009091,0.001203,1.782968,1.793262
random_n03_03,3,spectrum,peigen,20864,random,5,13,13,0,16814126291484478447,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.050412241180981594,0.04995969133435583,0.05462825920245399,0.006776,0.001153,1.051801,1.059529
random_n03_03,3,spectrum,proposed,20864,random,5,13,13,0,16814126291484478447,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.037144842791411045,0.03712955329754601,0.0377117523006135,0.006716,0.000882,0.77499,0.782588
random_n03_04,3,max,peigen,15744,random,5,2,2,0,14815582749681212871,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.030337525406504064,0.029152693089430894,0.05350266768292683,0.013842,0.001714,0.477634,0.496949
random_n03_04,3,max,proposed,15744,random,5,2,2,0,14815582749681212871,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.027868584857723575,0.018795985772357724,0.037592606707317074,0.013922,0.001573,0.438763,0.454379
random_n03_04,3,min,peigen,27413,random,5,1,1,0,244660045374719309,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.035692919417794476,0.03525163243716485,0.037712691058986614,0.007367,0.001113,0.97845,0.986409
random_n03_04,3,min,proposed,27413,random,5,1,1,0,244660045374719309,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.06548196111334038,0.06529219713274724,0.06811563856564404,0.007036,0.001143,1.795057,1.803136
random_n03_04,3,spectrum,peigen,20864,random,5,11,11,0,4794375013691363531,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05010280866564417,0.05008210314417178,0.05220504217791411,0.007056,0.001173,1.045345,1.053123
random_n03_04,3,spectrum,proposed,20864,random,5,11,11,0,4794375013691363531,"[0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03351490605828221,0.0335129888803681,0.03354136311349693,0.006905,0.000942,0.699255,0.707203
random_n03_05,3,max,peigen,15744,random,5,2,2,0,1806319374553813993,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.028521849593495935,0.02845884146341463,0.028907583841463413,0.006705,0.001133,0.449048,0.456575
random_n03_05,3,max,proposed,15744,random,5,2,2,0,1806319374553813993,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01813700457317073,0.018121697154471546,0.018242759146341464,0.006746,0.000682,0.285549,0.292996
random_n03_05,3,min,peigen,27413,random,5,1,1,0,18004204871127701541,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03555692554627367,0.03519421442381352,0.03589552402144967,0.007037,0.001042,0.974722,0.982681
random_n03_05,3,min,proposed,27413,random,5,1,1,0,18004204871127701541,"[0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.07770444679531609,0.06738036697917046,0.08048907452668443,0.014473,0.001815,2.130112,2.14646
