group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
A,random_n12_00,spectrum,natural,2,reference,reference-proposed,81.90038254643324,3.8754603707823283
A,random_n12_00,spectrum,natural,4,reference,reference-proposed,77.86297146537036,2.5722715747920444
A,random_n12_00,spectrum,natural,8,reference,reference-proposed,81.23861524416682,1.8091308197372156
A,random_n12_00,spectrum,natural,16,reference,reference-proposed,65.50371426385549,1.3924298629350342
A,random_n12_00,spectrum,natural,32,reference,reference-proposed,39.74340324858097,0.8533840026723498
A,random_n12_00,spectrum,natural,64,reference,reference-proposed,30.73401225686906,0.6654202869367684
A,random_n16_00,max,high,1,reference,reference-proposed,33.084359151856255,1.794371110145476
A,random_n16_00,max,high,2,reference,reference-proposed,31.476951958038907,2.0727442183632436
A,random_n16_00,max,high,4,reference,reference-proposed,21.526965606959916,1.7069621730914144
A,random_n16_00,max,high,8,reference,reference-proposed,12.516897522186463,1.3791073894813337
A,random_n16_00,max,high,16,reference,reference-proposed,7.243030763208655,1.2331856759342534
A,random_n16_00,max,high,32,reference,reference-proposed,7.501204962956706,1.2196480040498254
A,random_n16_00,max,high,64,reference,reference-proposed,7.313453434664998,1.2168944308544032
A,random_n16_00,max,natural,1,reference,reference-proposed,3043.1219258746105,1.8300491599929483
A,random_n16_00,max,natural,2,reference,reference-proposed,2859.4195565662308,2.143385418508243
A,random_n16_00,max,natural,4,reference,reference-proposed,1790.170739872782,1.7332783338923192
A,random_n16_00,max,natural,8,reference,reference-proposed,871.1279799247177,1.442899620530755
A,random_n16_00,max,natural,16,reference,reference-proposed,290.535978218592,1.2559193745197317
A,random_n16_00,max,natural,32,reference,reference-proposed,315.5590501978754,1.2604889242023178
A,random_n16_00,max,natural,64,reference,reference-proposed,341.49649122807017,1.2497532636935107
A,random_n16_00,min,static,1,reference,reference-proposed,5502.514347322995,3484.025109515568
A,random_n16_00,min,static,2,reference,reference-proposed,2183.57562977233,1407.3264370810518
A,random_n16_00,min,static,4,reference,reference-proposed,1846.6851773129276,1003.4822508710093
A,random_n16_00,min,static,8,reference,reference-proposed,1351.6367424215482,641.5388990675823
A,random_n16_00,min,static,16,reference,reference-proposed,615.5583696928356,336.4243407098935
A,random_n16_00,min,static,32,reference,reference-proposed,314.2480187266696,170.4400112241796
A,random_n16_00,min,static,64,reference,reference-proposed,156.9011047715284,87.80087761639014
A,random_n16_00,spectrum,high,1,reference,reference-proposed,59.8760597330491,6.355096844793377
A,random_n16_00,spectrum,high,2,reference,reference-proposed,47.45966899464834,3.144972464171372
A,random_n16_00,spectrum,high,4,reference,reference-proposed,28.563940369194864,1.766966200646186
A,random_n16_00,spectrum,high,8,reference,reference-proposed,14.621843434307506,0.9296595254701561
A,random_n16_00,spectrum,high,16,reference,reference-proposed,7.53610061432349,0.4769899852596182
A,random_n16_00,spectrum,high,32,reference,reference-proposed,7.730652822608614,0.2603559212292447
