group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n08_00,spectrum,high,reference-proposed,coam,16,0.34173443428134465,0.3409621939027545,0.3477734562981718,0.5181250914364588,0.5156936109753709,0.5264614718675529
A,random_n08_00,spectrum,high,reference-proposed,coam,32,0.22056192769713368,0.21441007994214967,0.2228761151380346,0.357815978327946,0.3549355948289431,0.3622376488323078
A,random_n08_00,spectrum,high,reference-proposed,coam,64,0.13220899232330652,0.12980520845121807,0.13857044017418813,0.23405940156662866,0.23316599611305439,0.2429496860107917
A,random_n08_00,spectrum,natural,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,spectrum,natural,reference,coam,2,1.1068826825928944,1.0975413846482938,1.3721756014897923,1.1136805987563776,1.0959785498116026,1.3647762721919627
A,random_n08_00,spectrum,natural,reference,coam,4,2.24143593226182,2.2399786611777124,2.2537090955510664,2.180699541392508,2.167545419903419,2.199491784080207
A,random_n08_00,spectrum,natural,reference,coam,8,3.900766113503434,3.9004766314750032,3.905825559590898,3.791131830808184,3.7472356142568524,3.828016139240461
A,random_n08_00,spectrum,natural,reference,coam,16,5.256969716292352,5.203426179384203,5.259976919564609,5.100059938768974,5.034912865960472,5.13453625836492
A,random_n08_00,spectrum,natural,reference,coam,32,4.906958549729969,4.877323025543113,4.921847426575885,4.724283745932351,4.704009374659217,4.7595568755284905
A,random_n08_00,spectrum,natural,reference,coam,64,3.2956935870672317,3.2908951539203626,3.296292758651024,3.221949712087118,3.2102357566283293,3.2380602397956095
A,random_n08_00,spectrum,natural,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n08_00,spectrum,natural,reference-proposed,coam,2,0.8543826714801444,0.8400125647903516,1.3180317387093192,0.9225762798160374,0.9051689405624059,1.3449785478491174
A,random_n08_00,spectrum,natural,reference-proposed,coam,4,1.6829698798610715,1.254511117941007,1.6968247594853623,1.8549152565289995,1.367321241398523,1.8823128952659325
A,random_n08_00,spectrum,natural,reference-proposed,coam,8,1.5325944649685657,1.1450371984293084,1.5618946753970473,1.0913152084703694,1.0076374628023386,1.5058683530549284
A,random_n08_00,spectrum,natural,reference-proposed,coam,16,1.0969854981025988,0.8035252067872753,1.0995993448909729,1.5766960889103425,1.1878922514449646,1.580632431447698
A,random_n08_00,spectrum,natural,reference-proposed,coam,32,0.8474075772996373,0.6403417733446303,0.862652509203689,1.350163126722542,1.0146136088746527,1.3511381269669913
A,random_n08_00,spectrum,natural,reference-proposed,coam,64,0.7047393110683269,0.5285155595747479,0.7284445415946865,1.231625395300608,0.9229249228187321,1.2337173549675309
A,random_n12_00,max,high,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,max,high,reference,coam,2,0.895214733560184,0.8944716283838952,0.9056262231438246,0.8836951647055149,0.8832468611386861,0.8979144794254901
A,random_n12_00,max,high,reference,coam,4,1.5755366436596752,1.5683346862411462,1.586869677560636,1.2856155992325922,1.2429791030835902,1.336240942140601
A,random_n12_00,max,high,reference,coam,8,1.9381653876418512,1.924864933002263,1.9740741176857906,1.5137666980895819,1.5079053149255046,1.5307098508711352
A,random_n12_00,max,high,reference,coam,16,2.525201825830126,2.4863212940309904,2.5546977393458254,1.7755509218638807,1.7423588675413884,1.7833486963937153
A,random_n12_00,max,high,reference,coam,32,2.2384138463876786,2.202908795647257,2.2580323064877774,1.6303726907612908,1.6182963358259457,1.6325237951292149
