group,case,metric,profile,method,binary,threads,n,steps,repeats,kernel_us_per_step,kernel_us_q1,kernel_us_q3,paired_hardware_speedup,parallel_efficiency,process_seconds,init_ms,context_ms,kernel_ms,total_ms
A,random_n08_00,spectrum,natural,reference,coam,2,8,16,3,391.032125,327.75690625000004,394.18118749999996,1.1068826825928944,0.5534413412964472,0.01150159165263176,0.472701,0.02625,6.256514,6.769097
A,random_n08_00,spectrum,natural,reference,coam,4,8,16,3,192.9008125,191.95571875000002,193.184,2.24143593226182,0.560358983065455,0.008416936732828617,0.31306,0.029138,3.086413,3.398398
A,random_n08_00,spectrum,natural,reference,coam,8,8,16,3,110.8435625,110.7579375,110.94225,3.900766113503434,0.48759576418792927,0.0073740724474191666,0.168319,0.011456,1.773497,1.952624
A,random_n08_00,spectrum,natural,reference,coam,16,8,16,3,82.333875,82.3109375,83.14603125,5.256969716292352,0.328560607268272,0.007299236953258514,0.128293,0.013462,1.317342,1.458424
A,random_n08_00,spectrum,natural,reference,coam,32,8,16,3,88.114625,87.92034375,88.69990625,4.906958549729969,0.15334245467906152,0.008266334421932697,0.144253,0.014243,1.409834,1.566937
A,random_n08_00,spectrum,natural,reference,coam,64,8,16,3,131.28325,131.2385625,131.53750000000002,3.2956935870672317,0.051495212297925495,0.01039753295481205,0.196954,0.014093,2.100532,2.3166
A,random_n08_00,spectrum,natural,reference-proposed,coam,1,8,16,3,7.3895,5.5436875,7.47503125,1.0,1.0,0.005594599060714245,0.401176,0.026321,0.118232,0.548747
A,random_n08_00,spectrum,natural,reference-proposed,coam,2,8,16,3,4.328125,4.2858125000000005,6.6390625,0.8543826714801444,0.4271913357400722,0.005420468747615814,0.229781,0.014854,0.06925,0.310486
A,random_n08_00,spectrum,natural,reference-proposed,coam,4,8,16,3,4.419625,4.4051875,4.44809375,1.6829698798610715,0.4207424699652679,0.005000780336558819,0.21248,0.01264,0.070714,0.295834
A,random_n08_00,spectrum,natural,reference-proposed,coam,8,8,16,3,4.8215625,4.7865312499999995,4.8516875,1.5325944649685657,0.1915743081210707,0.005869612097740173,0.208647,0.011336,0.077145,0.298092
A,random_n08_00,spectrum,natural,reference-proposed,coam,16,8,16,3,6.8594375,6.7978125,7.054625,1.0969854981025988,0.06856159363141243,0.0068160854279994965,0.224082,0.013601,0.109751,0.34657
A,random_n08_00,spectrum,natural,reference-proposed,coam,32,8,16,3,8.612125,8.573406250000001,8.666125000000001,0.8474075772996373,0.026481486790613667,0.007112308405339718,0.253868,0.013632,0.137794,0.405844
A,random_n08_00,spectrum,natural,reference-proposed,coam,64,8,16,3,10.4854375,10.268687499999999,10.491031249999999,0.7047393110683269,0.011011551735442607,0.008444201201200485,0.267495,0.01297,0.167767,0.445547
A,random_n12_00,max,high,reference,coam,1,12,2,3,353.4545,353.06525,354.262,1.0,1.0,0.006124716252088547,0.741758,0.050855,0.706909,1.499522
A,random_n12_00,max,high,reference,coam,2,12,2,3,394.612,391.11325,394.71925,0.895214733560184,0.447607366780092,0.007320408709347248,0.859765,0.046597,0.789224,1.684382
A,random_n12_00,max,high,reference,coam,4,12,2,3,223.845,223.00650000000002,225.127,1.5755366436596752,0.3938841609149188,0.007162698544561863,0.659397,0.049534,0.44769,1.156621
A,random_n12_00,max,high,reference,coam,8,12,2,3,182.3655,179.50925,183.43075,1.9381653876418512,0.2422706734552314,0.0067844027653336525,0.580109,0.048141,0.364731,0.990777
A,random_n12_00,max,high,reference,coam,16,12,2,3,139.6625,138.5315,142.04025000000001,2.525201825830126,0.15782511411438288,0.007049942389130592,0.53053,0.04854,0.279325,0.856088
A,random_n12_00,max,high,reference,coam,32,12,2,3,157.904,156.373,160.86325,2.2384138463876786,0.06995043269961496,0.008046937175095081,0.558618,0.05177,0.315808,0.933572
A,random_n12_00,max,high,reference,coam,64,12,2,3,170.8995,167.35625,171.38799999999998,2.068200901699537,0.03231563908905526,0.009277954697608948,0.619038,0.049534,0.341799,1.002943
A,random_n12_00,max,high,reference-proposed,coam,1,12,2,3,13.095,12.9725,13.2055,1.0,1.0,0.005886809900403023,0.589631,0.053353,0.02619,0.668423
A,random_n12_00,max,high,reference-proposed,coam,2,12,2,3,15.726,14.94175,16.89125,0.846750604095129,0.4233753020475645,0.00585991982370615,0.578675,0.047821,0.031452,0.659982
A,random_n12_00,max,high,reference-proposed,coam,4,12,2,3,14.388,14.075,14.42575,0.9254934667778705,0.23137336669446762,0.007348660379648209,0.522566,0.10451,0.028776,0.627677
A,random_n12_00,max,high,reference-proposed,coam,8,12,2,3,14.684,14.393249999999998,16.017,0.8917869790247889,0.11147337237809861,0.006686345674097538,0.462558,0.051568,0.029368,0.550771
A,random_n12_00,max,high,reference-proposed,coam,16,12,2,3,16.979,16.78875,17.186999999999998,0.7712468343247542,0.048202927145297135,0.007599027827382088,0.456911,0.048442,0.033958,0.542491
A,random_n12_00,max,high,reference-proposed,coam,32,12,2,3,20.0865,17.939,20.417250000000003,0.6519304010156075,0.020372825031737735,0.0077917203307151794,0.471999,0.05193,0.040173,0.565425
A,random_n12_00,max,high,reference-proposed,coam,64,12,2,3,22.823,21.444499999999998,23.740000000000002,0.5630285238575121,0.008797320685273627,0.0101463682949543,0.510458,0.052541,0.045646,0.605516
A,random_n12_00,max,natural,reference,coam,1,12,2,3,341.523,339.909,343.13025000000005,1.0,1.0,0.00699812825769186,0.798845,0.05196,0.683046,1.537783
A,random_n12_00,max,natural,reference,coam,2,12,2,3,356.306,310.115,356.96825,0.9549604969374815,0.47748024846874076,0.006845308467745781,0.819601,0.048863,0.712612,1.580678
A,random_n12_00,max,natural,reference,coam,4,12,2,3,194.3525,193.86475000000002,198.17624999999998,1.7406259245443203,0.4351564811360801,0.007568896748125553,0.627057,0.052089,0.388705,1.067851
A,random_n12_00,max,natural,reference,coam,8,12,2,3,149.5445,146.89600000000002,153.2525,2.262169454577066,0.28277118182213323,0.007603015750646591,0.578363,0.051098,0.299089,0.92415
A,random_n12_00,max,natural,reference,coam,16,12,2,3,132.29,125.73775,136.55,2.5816237054955025,0.1613514815934689,0.007594745606184006,0.519569,0.047479,0.26458,0.835569
A,random_n12_00,max,natural,reference,coam,32,12,2,3,145.4805,137.94774999999998,146.122,2.36964747852805,0.07405148370400157,0.008276598528027534,0.569644,0.053433,0.290961,0.912969
A,random_n12_00,max,natural,reference,coam,64,12,2,3,160.28,151.90575,160.39525,2.1477566888147503,0.033558698262730474,0.009611413814127445,0.605838,0.061502,0.32056,0.966982
A,random_n12_00,max,natural,reference-proposed,coam,1,12,2,3,1.8245,1.7215,2.5934999999999997,1.0,1.0,0.0064591532573103905,0.660539,0.053313,0.003649,0.716867
A,random_n12_00,max,natural,reference-proposed,coam,2,12,2,3,3.508,3.46775,4.3,0.520096921322691,0.2600484606613455,0.006919814273715019,0.587144,0.050496,0.007016,0.639683
A,random_n12_00,max,natural,reference-proposed,coam,4,12,2,3,2.741,2.5705,3.5355,0.7602083333333334,0.19005208333333334,0.0067270053550601006,0.483866,0.047909,0.005482,0.537257
A,random_n12_00,max,natural,reference-proposed,coam,8,12,2,3,3.959,3.8465,4.1345,0.43344938403856453,0.05418117300482057,0.007017636671662331,0.466516,0.049203,0.007918,0.523187
A,random_n12_00,max,natural,reference-proposed,coam,16,12,2,3,6.515,5.6705,6.9235,0.24884069830878341,0.015552543644298963,0.006616579368710518,0.455049,0.04747,0.01303,0.515167
A,random_n12_00,max,natural,reference-proposed,coam,32,12,2,3,7.2015,6.18175,7.9357500000000005,0.313541263076327,0.00979816447113522,0.007731865160167217,0.466316,0.055358,0.014403,0.531998
A,random_n12_00,max,natural,reference-proposed,coam,64,12,2,3,3.7435,3.7335000000000003,4.708,0.487378122078269,0.0076152831574729535,0.009073495864868164,0.494431,0.049725,0.007487,0.551603
A,random_n12_00,min,static,reference,coam,1,12,2,3,133662.4015,133619.12524999998,134325.9485,1.0,1.0,0.40778365451842546,134.251752,0.049753,267.324803,401.630691
A,random_n12_00,min,static,reference,coam,2,12,2,3,58423.107,58417.43875,58586.68825000001,2.2882785499542426,1.1441392749771213,0.19513159897178411,71.88021,0.065993,116.846214,188.792417
A,random_n12_00,min,static,reference,coam,4,12,2,3,29834.727,29822.62025,29995.826999999997,4.480830194354082,1.1202075485885206,0.11224850453436375,46.769122,0.047278,59.669454,106.531028
A,random_n12_00,min,static,reference,coam,8,12,2,3,18764.7145,18554.173,18901.231,7.19379426209762,0.8992242827622025,0.07645889837294817,32.082831,0.048833,37.529429,69.661093
A,random_n12_00,min,static,reference,coam,16,12,2,3,16469.775,16372.26675,16492.682249999998,8.173459112676541,0.5108411945422838,0.056953770108520985,17.463649,0.046927,32.93955,50.44922
A,random_n12_00,min,static,reference,coam,32,12,2,3,9940.43,9900.84775,9954.098,13.437632879060564,0.4199260274706426,0.03827995993196964,10.648372,0.05176,19.88086,30.582231
A,random_n12_00,min,static,reference,coam,64,12,2,3,8428.113,8417.42125,8477.139,15.859113599924443,0.24779864999881943,0.03507987130433321,9.827383,0.04775,16.856226,26.875924
A,random_n12_00,min,static,reference-proposed,coam,1,12,2,3,232.2855,231.74475,233.61599999999999,1.0,1.0,0.005826110020279884,0.611702,0.051859,0.464571,1.128132
A,random_n12_00,min,static,reference-proposed,coam,2,12,2,3,320.333,319.76075000000003,322.361,0.7251375911941635,0.36256879559708177,0.00759017001837492,0.717545,0.047989,0.640666,1.413071
A,random_n12_00,min,static,reference-proposed,coam,4,12,2,3,240.033,237.74775,241.68574999999998,0.9655130610240468,0.2413782652560117,0.006693193688988686,0.645297,0.048261,0.480066,1.172111
A,random_n12_00,min,static,reference-proposed,coam,8,12,2,3,224.884,222.0575,226.43875,1.030496483452379,0.1288120604315474,0.0075839003548026085,0.618247,0.053273,0.449768,1.13523
A,random_n12_00,min,static,reference-proposed,coam,16,12,2,3,400.865,395.385,407.4055,0.5860988113205193,0.03663117570753246,0.008450116962194443,0.632246,0.04837,0.80173,1.468339
