case,n,m,metric,profile,method,steps,group,scalar_mobius_xor,scalar_component_xor,scalar_elimination_xor,scalar_coefficient_updates,scalar_rollback_xor,scalar_degree_checks,pivot_checks,delta_candidates,delta_coefficients,word_mobius_xor,word_component_xor,word_elimination_xor,word_coefficient_updates,word_rollback_xor,word_degree_checks,top_guard_checks,top_guard_kept,top_guard_fallback,degree_drops,scalar_guard_checks,scalar_guard_kept,scalar_guard_fallback,scalar_degree_drops
random_n03_06,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,88332,0,42116,0,46257,22083,0,0,0,0,0,0,0,0,0,0,29604,10927,9714,5468
random_n03_06,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_06,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,59564,0,100302,49202,0,0,0,0,0,0,0,0,0,0,41980,16088,14103,7185
random_n03_07,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_07,3,3,min,static,reference-proposed,8448,random,304128,0,202752,0,0,0,76032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_07,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_07,3,3,max,natural,reference-proposed,11008,random,0,0,0,64444,0,28316,0,81098,39130,0,0,0,0,0,0,0,0,0,0,21049,7879,6740,3587
random_n03_07,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_07,3,3,max,high,reference-proposed,15744,random,0,0,0,142214,0,43843,0,169002,82902,0,0,0,0,0,0,0,0,0,0,30055,11389,10370,5249
random_n03_07,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_07,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,92820,0,41361,0,48093,23205,0,0,0,0,0,0,0,0,0,0,29835,11033,9707,5372
random_n03_07,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_07,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,59823,0,100302,49202,0,0,0,0,0,0,0,0,0,0,41864,15998,14181,7200
random_n03_08,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_08,3,3,min,static,reference-proposed,8448,random,304128,0,67584,0,0,0,118272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_08,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_08,3,3,max,natural,reference-proposed,11008,random,0,0,0,62046,0,29674,0,72670,36550,0,0,0,0,0,0,0,0,0,0,21537,8182,6795,3746
random_n03_08,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_08,3,3,max,high,reference-proposed,15744,random,0,0,0,106343,0,32276,0,169002,82902,0,0,0,0,0,0,0,0,0,0,22968,8504,7761,3994
random_n03_08,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_08,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,86700,0,41072,0,43095,21675,0,0,0,0,0,0,0,0,0,0,30133,11477,9397,5238
random_n03_08,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_08,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,60067,0,100302,49202,0,0,0,0,0,0,0,0,0,0,42184,15942,13672,7762
random_n03_09,3,3,min,static,reference,8448,random,304128,811008,0,0,0,473088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_09,3,3,min,static,reference-proposed,8448,random,304128,0,67584,0,0,0,92928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_09,3,3,max,natural,reference,11008,random,396288,0,0,0,0,264192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_09,3,3,max,natural,reference-proposed,11008,random,0,0,0,61659,0,30456,0,76540,35948,0,0,0,0,0,0,0,0,0,0,20791,7905,7136,3842
random_n03_09,3,3,max,high,reference,15744,random,566784,0,0,0,0,377856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_09,3,3,max,high,reference-proposed,15744,random,0,0,0,124195,0,38492,0,169002,82902,0,0,0,0,0,0,0,0,0,0,26506,9814,8924,4878
random_n03_09,3,3,spectrum,natural,reference,6528,random,235008,626688,0,0,0,365568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_09,3,3,spectrum,natural,reference-proposed,6528,random,0,0,0,85272,0,42035,0,45390,21318,0,0,0,0,0,0,0,0,0,0,28767,10987,9851,5280
random_n03_09,3,3,spectrum,high,reference,9344,random,336384,897024,0,0,0,523264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n03_09,3,3,spectrum,high,reference-proposed,9344,random,0,0,0,196808,0,60283,0,100302,49202,0,0,0,0,0,0,0,0,0,0,41801,15875,14194,7307
random_n04_00,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
