case,n,metric,method,steps,group,m,profile,kernel_us_per_step,repeat_q1_us,repeat_q3_us,context_ms,init_ms,kernel_ms,total_ms,input_conversion_ms,state_init_ms
random_n03_05,3,min,reference-proposed,8448,random,3,static,0.1254045928030303,0.09982492897727273,0.12630883049242425,0.014293,0.002205,1.059418,1.076006,0.000241,0.001965
random_n03_05,3,spectrum,reference,9344,random,3,high,0.2264838398972603,0.2244361087328767,0.22662382277397258,0.006745,0.001443,2.116265,2.124314,0.000121,0.001332
random_n03_05,3,spectrum,reference-proposed,9344,random,3,high,0.05254890839041096,0.05191705907534246,0.07462607020547946,0.006756,0.001413,0.491017,0.498906,0.00012,0.001293
random_n03_05,3,spectrum,reference,6528,random,3,natural,0.2748995098039215,0.2739494485294118,0.2838809742647059,0.007908,0.003639,1.794544,1.806542,0.00012,0.003519
random_n03_05,3,spectrum,reference-proposed,6528,random,3,natural,0.061801317401960786,0.05985768995098039,0.06767846200980392,0.006836,0.003357,0.403439,0.413632,0.00012,0.003237
random_n03_06,3,max,reference,15744,random,3,high,0.08424263211382114,0.06520013973577235,0.10215974339430894,0.007407,0.001333,1.326316,1.335027,0.000121,0.001213
random_n03_06,3,max,reference-proposed,15744,random,3,high,0.0364427718495935,0.03295725355691057,0.05638465447154471,0.013812,0.002094,0.573755,0.590003,0.000241,0.001853
random_n03_06,3,max,reference,11008,random,3,natural,0.09108094113372092,0.08998183139534884,0.12936400799418604,0.006786,0.003067,1.002619,1.012462,0.000121,0.002957
random_n03_06,3,max,reference-proposed,11008,random,3,natural,0.0295304324127907,0.029463753633720932,0.0295812136627907,0.006796,0.003068,0.325071,0.334904,0.000121,0.002927
random_n03_06,3,min,reference,8448,random,3,static,0.13471969696969696,0.13067732007575755,0.15368158143939395,0.007026,0.001403,1.138112,1.146351,0.000121,0.001293
random_n03_06,3,min,reference-proposed,8448,random,3,static,0.050839607007575754,0.05068477746212121,0.07382563920454545,0.007367,0.001444,0.429493,0.437461,0.00012,0.001324
random_n03_06,3,spectrum,reference,9344,random,3,high,0.22432544948630137,0.2226744434931507,0.22631421232876714,0.006776,0.001453,2.096097,2.104276,0.000121,0.001332
random_n03_06,3,spectrum,reference-proposed,9344,random,3,high,0.05455329623287671,0.052759524828767126,0.06690047089041096,0.007067,0.001393,0.509746,0.517645,0.000121,0.001272
random_n03_06,3,spectrum,reference,6528,random,3,natural,0.25456357230392157,0.25365073529411764,0.2660353860294118,0.006886,0.003719,1.661791,1.672396,0.00012,0.003599
random_n03_06,3,spectrum,reference-proposed,6528,random,3,natural,0.055222120098039215,0.055214920343137255,0.057338082107843136,0.006726,0.003347,0.36049,0.372468,0.00012,0.003227
random_n03_07,3,max,reference,15744,random,3,high,0.09146684451219513,0.0835461763211382,0.0938384781504065,0.013722,0.002135,1.440054,1.45595,0.00024,0.001895
random_n03_07,3,max,reference-proposed,15744,random,3,high,0.029804052337398374,0.029601054369918698,0.030368711890243903,0.007166,0.001103,0.469235,0.476943,0.00012,0.000983
random_n03_07,3,max,reference,11008,random,3,natural,0.08441987645348838,0.08202607194767443,0.08442850654069767,0.007067,0.003297,0.929294,0.939879,0.00012,0.003177
random_n03_07,3,max,reference-proposed,11008,random,3,natural,0.032813862645348836,0.030192042151162793,0.04359384084302326,0.013592,0.006074,0.361215,0.381873,0.00024,0.005834
random_n03_07,3,min,reference,8448,random,3,static,0.12955480587121213,0.12945170454545454,0.12971602746212121,0.007317,0.001804,1.094479,1.103149,0.000121,0.001683
random_n03_07,3,min,reference-proposed,8448,random,3,static,0.06039050662878787,0.059952888257575755,0.06080930397727273,0.007216,0.001203,0.510179,0.518218,0.00012,0.001083
random_n03_07,3,spectrum,reference,9344,random,3,high,0.22507705479452053,0.22471018835616438,0.22509556934931507,0.007066,0.001483,2.10312,2.111421,0.00012,0.001373
random_n03_07,3,spectrum,reference-proposed,9344,random,3,high,0.05399967893835616,0.05225246147260274,0.06066898544520548,0.006686,0.001403,0.504573,0.512602,0.00012,0.001283
random_n03_07,3,spectrum,reference,6528,random,3,natural,0.24500827205882353,0.2440687806372549,0.2789433210784314,0.013762,0.007347,1.599414,1.61441,0.00024,0.007106
random_n03_07,3,spectrum,reference-proposed,6528,random,3,natural,0.07933455882352941,0.05180744485294118,0.08022901348039216,0.013692,0.006766,0.517896,0.538724,0.00023,0.006536
random_n03_08,3,max,reference,15744,random,3,high,0.08104039634146341,0.08010492886178862,0.08108739837398375,0.006806,0.001052,1.2759,1.283678,0.00012,0.000941
random_n03_08,3,max,reference-proposed,15744,random,3,high,0.027190485264227644,0.027188071646341464,0.04903347306910569,0.00872,0.001232,0.428087,0.437909,0.000121,0.001122
random_n03_08,3,max,reference,11008,random,3,natural,0.09740098110465116,0.09736537063953489,0.09742178415697675,0.006746,0.003147,1.07219,1.081972,0.00012,0.003017
random_n03_08,3,max,reference-proposed,11008,random,3,natural,0.044832576308139534,0.0367726199127907,0.054969840116279076,0.013732,0.006205,0.493517,0.513553,0.00024,0.005965
random_n03_08,3,min,reference,8448,random,3,static,0.1496233428030303,0.1301362452651515,0.14966394412878786,0.014182,0.002987,1.264018,1.28153,0.000241,0.002737
random_n03_08,3,min,reference-proposed,8448,random,3,static,0.06730823863636363,0.05879770359848485,0.07639666193181818,0.007247,0.001513,0.56862,0.576549,0.00012,0.001393
random_n03_08,3,spectrum,reference,9344,random,3,high,0.21947474315068494,0.2191673801369863,0.24066095890410957,0.013862,0.002997,2.050772,2.064839,0.000241,0.002756
random_n03_08,3,spectrum,reference-proposed,9344,random,3,high,0.09094081763698629,0.05352365154109589,0.09330179794520548,0.013822,0.002446,0.849751,0.866419,0.00024,0.002195
random_n03_08,3,spectrum,reference,6528,random,3,natural,0.31733609068627455,0.28667248774509807,0.32872533700980394,0.013933,0.007246,2.07157,2.094423,0.000241,0.007005
random_n03_08,3,spectrum,reference-proposed,6528,random,3,natural,0.06970557598039215,0.06761948529411765,0.07374984681372548,0.007137,0.003708,0.455038,0.475465,0.00012,0.003588
random_n03_09,3,max,reference,15744,random,3,high,0.08216260162601625,0.08173964684959349,0.0875879700203252,0.013742,0.002045,1.293568,1.309414,0.00024,0.001805
random_n03_09,3,max,reference-proposed,15744,random,3,high,0.03227794715447155,0.03169855182926829,0.043585746951219514,0.013781,0.001975,0.508184,0.524572,0.000231,0.001735
random_n03_09,3,max,reference,11008,random,3,natural,0.09723210392441861,0.09695194404069767,0.09723473837209302,0.006966,0.003398,1.070331,1.080474,0.00012,0.003287
random_n03_09,3,max,reference-proposed,11008,random,3,natural,0.031834938226744186,0.03145185319767442,0.041118731831395354,0.007227,0.003308,0.350439,0.360442,0.000121,0.003198
random_n03_09,3,min,reference,8448,random,3,static,0.1299183238636364,0.12990778882575757,0.1304241240530303,0.007027,0.001423,1.09755,1.105821,0.00012,0.001303
random_n03_09,3,min,reference-proposed,8448,random,3,static,0.05400213068181818,0.05386635890151515,0.05401242897727273,0.007137,0.001112,0.45621,0.464269,0.000121,0.000991
random_n03_09,3,spectrum,reference,9344,random,3,high,0.21995965325342465,0.21684899400684932,0.2260072773972603,0.013812,0.002806,2.055303,2.072041,0.00024,0.002565
random_n03_09,3,spectrum,reference-proposed,9344,random,3,high,0.053312928082191784,0.051732448630136985,0.056300941780821914,0.006896,0.001203,0.498156,0.505945,0.00012,0.001083
random_n03_09,3,spectrum,reference,6528,random,3,natural,0.28792386642156864,0.2874546568627451,0.28908992034313724,0.007097,0.003959,1.879567,1.890883,0.000111,0.003849
random_n03_09,3,spectrum,reference-proposed,6528,random,3,natural,0.06775750612745098,0.06456326593137256,0.0723828125,0.006745,0.003328,0.442321,0.452595,0.000121,0.003208
random_n04_00,4,max,reference,8960,random,4,high,0.24909832589285713,0.24828738839285713,0.2807109375,0.007247,0.003658,2.231921,2.242465,0.000191,0.003498
random_n04_00,4,max,reference-proposed,8960,random,4,high,0.08194174107142857,0.05811941964285715,0.10607220982142858,0.014412,0.007066,0.734198,0.756289,0.00033,0.006736
random_n04_00,4,max,reference,8064,random,4,natural,0.3298106398809524,0.32349925595238094,0.35794258432539683,0.007206,0.003799,2.659593,2.670308,0.00018,0.003619
random_n04_00,4,max,reference-proposed,8064,random,4,natural,0.07102926587301588,0.0706968005952381,0.07288789682539683,0.007347,0.003709,0.57278,0.586341,0.000161,0.003549
random_n04_00,4,min,reference,7808,random,4,static,0.5410646772540983,0.5026639344262295,0.5596285860655739,0.014593,0.006125,4.224633,4.245441,0.000331,0.005783
random_n04_00,4,min,reference-proposed,7808,random,4,static,0.13242072233606558,0.12826011782786884,0.14107453893442623,0.007287,0.001574,1.033941,1.042511,0.000181,0.001404
