n,metric,profile,steps,independent_inputs,repeats_per_input,reference_growth_factor,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3,speedup_over_reference_factor,speedup_over_reference_factor_q1,speedup_over_reference_factor_q3
8,spectrum,natural,256,10,5,16,384.80360546875,376.72809765625,386.0004423828125,4.317814453125,4.2697158203125,4.452416015625,88.29046644383934,86.46749669460036,90.03656721676847,98.932923,97.06445125,99.23492275,1.314282,1.3064704999999999,1.35372025,74.61741720846305,72.99340387794786,75.73112114251238,5.5181541527399585,5.404218543412522,5.62728545104803
9,max,high,640,10,5,9,21.39065703125,21.244145703125,21.473691796875002,1.6342867187499999,1.58803671875,1.83428359375,13.22106337457664,11.596727898447119,13.429256587941072,13.778361499999999,13.679659000000001,13.83611575,1.124323,1.08509525,1.28005275,12.289116931782393,10.767379049316723,12.748611097538774,1.4690070416196266,1.28852532204968,1.4921396208823414
9,max,natural,2688,10,5,9,20.673311569940473,20.543125279017858,20.777107886904762,0.348336681547619,0.33127976190476194,0.3539240141369048,59.375925971533164,58.82019715406584,61.95171819453666,55.6717655,55.303293,55.9696605,0.9999955,0.95408125,1.01535525,55.740203485218096,55.1951361497169,57.90639959314341,6.59732510794813,6.535577461562871,6.883524243837407
9,min,static,128,10,5,56.888888888888886,1585.4188671875,1582.58469921875,1598.494765625,15.25930078125,15.002916015624999,15.413474609375001,103.68739080082479,102.59091202129896,106.2969949945551,204.632321,204.386687,206.4282735,2.0255644999999998,1.9896942499999999,2.0440675,100.88820501123419,99.85233196113566,103.43236652153948,1.8226299164207482,1.803355875374396,1.868501865138664
9,spectrum,high,128,10,5,18,1591.7918632812498,1585.897623046875,1599.333376953125,48.53938671875,48.3976953125,48.674859375,32.864024674517616,32.67565592959232,32.927643203489225,205.390418,204.71923850000002,206.51355575000002,6.9760605,6.9607677500000005,7.01373425,29.496017946555213,29.32214693671704,29.61523989539238,1.825779148584312,1.8153142183106843,1.8293135113049572
9,spectrum,natural,128,10,5,18,1587.2789101562498,1584.043279296875,1592.485302734375,12.116484375,11.672857421875,12.203388671875,131.58333030492525,130.26382402027744,135.6052341654559,204.908379,204.41491,205.63893525,2.2957845,2.23642325,2.32770375,89.74009900616005,88.11915941756916,91.41317173236382,7.3101850169402915,7.236879112237636,7.533624120303106
10,max,high,256,10,5,10,53.011048828125,52.8118388671875,53.328009765625,3.512572265625,3.0809443359375,3.5718154296874998,14.986293201995009,14.899914425981908,17.165667790249287,13.7581095,13.69248625,13.85887325,1.0281535000000002,0.98723125,1.04211675,13.29757497107913,13.228445844097024,13.889248246251306,1.498629320199501,1.4899914425981908,1.7165667790249286
10,max,natural,2048,10,5,10,47.9661884765625,47.7287802734375,48.618122070312495,0.44194384765625,0.43611401367187497,0.4648558349609375,108.34033981445974,104.15097423263043,110.34911385884084,98.4060595,97.9304965,99.76638325,1.0329,1.02007775,1.081667,95.01612545450061,91.29493841355765,96.71790646700441,10.834033981445973,10.415097423263044,11.034911385884085
10,min,static,128,10,5,102.4,6532.02049609375,6499.43324609375,6557.123109375,37.657109375000005,36.10873046875,38.862599609374996,174.04039222061414,167.27877814554463,179.91700464957515,842.7856905,838.4920562499999,845.932368,4.95835,4.754596749999999,5.141185,170.52586987812862,163.72549976572728,176.08556861175975,1.6996132052794348,1.6335818178275843,1.7570019985310072
10,spectrum,high,128,10,5,20,6524.43989453125,6514.66324609375,6567.417908203125,183.58625,183.220416015625,183.8474453125,35.55540598695578,35.532573011217714,35.78972806739074,841.8286204999999,840.51214925,847.386278,26.337162,26.331061000000002,26.401471,31.961762708173225,31.842614065316507,32.141498476535155,1.777770299347789,1.7766286505608855,1.789486403369537
