case,group,n,m,metric,profile,steps,baseline_anf_xor_per_step,proposed_anf_xor_per_step,logical_anf_xor_ratio,baseline_degree_tests_per_step,proposed_degree_tests_per_step,mean_delta_fraction,conditional_guard_keep_fraction,actual_degree_drops,measured_time_speedup,reference_growth_factor
random_n16_05,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61440.0,0.5,0.49999237048905165,1,49.133520873690955,32
random_n16_05,random,16,16,spectrum,natural,2,34368126976.0,11927552.0,2881.4065934065934,4294901760.0,715.5,0.00555419921875,0.9951171875,1,791.0143579747894,32
random_n16_06,random,16,16,max,high,6,8388608.0,283989.3333333333,29.53846153846154,1048576.0,15.833333333333334,0.5,0.5,0,43.203282037553166,16
random_n16_06,random,16,16,max,natural,110,8388608.0,2888.0,2904.6426592797784,1048576.0,0.0,0.004638671875,1.0,0,4146.739538680509,16
random_n16_06,random,16,16,min,static,2,34368126976.0,11665408.0,2946.1573033707864,4294901760.0,0.0,,,0,5512.0591676593995,4096.0
random_n16_06,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61440.0,0.5,0.5,1,49.42846709774137,32
random_n16_06,random,16,16,spectrum,natural,2,34368126976.0,9961472.0,3450.1052631578946,4294901760.0,631.5,0.004638671875,0.9960936903944457,1,664.7786700507016,32
random_n16_07,random,16,16,max,high,6,8388608.0,218453.33333333334,38.4,1048576.0,13.666666666666666,0.5,0.5,0,49.98601181282245,16
random_n16_07,random,16,16,max,natural,110,8388608.0,17756.0,472.4379364721784,1048576.0,0.0,0.02142333984375,1.0,0,721.2870098922009,16
random_n16_07,random,16,16,min,static,2,34368126976.0,12124160.0,2834.681081081081,4294901760.0,0.0,,,0,5310.890438172069,4096.0
random_n16_07,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61441.0,0.5,0.4999771107686204,1,48.935485213113395,32
random_n16_07,random,16,16,spectrum,natural,2,34368126976.0,46006272.0,747.031339031339,4294901760.0,2704.0,0.02142333984375,0.9838862269966735,2,206.7783867566001,32
random_n16_08,random,16,16,max,high,6,8388608.0,240298.66666666666,34.90909090909091,1048576.0,13.666666666666666,0.5,0.5,0,47.44684891798691,16
random_n16_08,random,16,16,max,natural,110,8388608.0,15470.0,542.2500323206206,1048576.0,0.0,0.033172607421875,1.0,0,1110.7791260857234,16
random_n16_08,random,16,16,min,static,2,34368126976.0,11927552.0,2881.4065934065934,4294901760.0,0.0,,,0,5379.3689875938235,4096.0
random_n16_08,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61439.5,0.5,0.499984740745262,1,48.82747173355851,32
random_n16_08,random,16,16,spectrum,natural,2,34368126976.0,71237632.0,482.4434222631095,4294901760.0,586.5,0.033172607421875,0.9959715567491684,4,201.32122425333006,32
random_n16_09,random,16,16,max,high,6,8388608.0,240298.66666666666,34.90909090909091,1048576.0,13.333333333333334,0.5,0.5,0,47.618025501501336,16
random_n16_09,random,16,16,max,natural,110,8388608.0,8184.0,1025.0009775171065,1048576.0,0.0,0.0147705078125,1.0,0,1391.107607757259,16
random_n16_09,random,16,16,min,static,2,34368126976.0,12582912.0,2731.3333333333335,4294901760.0,0.0,,,0,5175.2097745822,4096.0
random_n16_09,random,16,16,spectrum,high,2,34368126976.0,1073741824.0,32.0078125,4294901760.0,61440.0,0.5,0.49999237048905165,1,48.923580432882304,32
random_n16_09,random,16,16,spectrum,natural,2,34368126976.0,31719424.0,1083.504132231405,4294901760.0,903.0,0.0147705078125,0.9941404461806085,2,272.1361306013495,32
